user_id,platform,platform_version,device
22782,ios,10.2,"iPhone7,2"
22783,android,6,Nexus 5
22784,android,5.1,SM-G903F
22785,ios,10.2,"iPhone7,2"
22786,android,6,ONE E1003
22787,android,4.3,GT-I9505
22788,android,6,SM-G930F
22789,android,6,SM-G930F
22790,android,5.1,D2303
22791,ios,10.2,"iPhone6,2"
22792,android,5.1,SM-G361F
22793,android,5.1,SM-G361F
22794,android,5.1,SM-G361F
22795,android,5.1,SM-G361F
22796,ios,10.2,"iPhone7,2"
22797,ios,10.1,"iPhone5,2"
22798,ios,10.1,"iPhone5,2"
22799,android,6,ONEPLUS A3003
22800,android,4.4,SM-A300FU
22801,android,4.4,GT-I9505
22802,android,4.4,GT-I9505
22803,android,5.1,ONE E1003
22804,android,6,SM-G935F
22805,android,4.2,GT-I9195
22806,android,6,A0001
22807,android,6,ONEPLUS A3003
22808,android,6,SM-G900F
22809,ios,10.2,"iPhone7,2"
22810,ios,10.2,"iPhone8,1"
22811,ios,9.3,"iPad3,1"
22812,ios,9.3,"iPad3,1"
22813,android,4.4,HTC Desire 510
22814,android,4.4,HTC Desire 510
22815,android,4.4,HTC Desire 510
22816,android,4.4,HTC Desire 510
22817,android,4.4,HTC Desire 510
22818,android,4.4,HTC Desire 510
22819,android,4.4,HTC One mini 2
22820,android,4.4,HTC One mini 2
22821,android,4.4,HTC One mini 2
22822,android,4.4,HTC One mini 2
22823,android,6,SM-G900F
22824,android,6,SM-G900F
22825,ios,10.1,"iPhone9,4"
22826,ios,10.1,"iPhone9,4"
22827,ios,10.2,"iPhone7,2"
22828,ios,10.2,"iPhone7,2"
22829,ios,10.1,"iPhone7,2"
22830,android,6,SM-G900F
22831,android,4.1,GT-I8190N
22832,android,6,D5803
22833,android,6,E6653
22834,android,6,SM-G900F
22835,android,6,SM-G920F
22836,android,6,SM-G920F
22837,ios,10.2,"iPhone7,2"
22838,ios,9.3,"iPhone7,2"
22839,android,6,A0001
22840,android,6,SM-G935F
22841,android,5.1,SM-G361F
22842,ios,10.2,"iPhone8,4"
22843,ios,10.2,"iPhone8,4"
22844,ios,9.3,"iPad2,4"
22845,ios,9.3,"iPad2,4"
22846,ios,9.3,"iPad2,4"
22847,ios,9.3,"iPad2,4"
22848,ios,9.3,"iPad2,4"
22849,android,6,SM-A310F
22850,android,6,SM-A310F
22851,ios,10,"iPhone5,2"
22852,android,6,SM-G935F
22853,android,6,SM-G935F
22854,android,5.1,D2303
22855,android,6,SM-N910F
22856,android,4.4,SM-G360F
22857,ios,10.2,"iPhone7,2"
22858,android,7,ONEPLUS A3003
22859,ios,10.1,"iPhone7,2"
22860,ios,9.3,"iPhone4,1"
22861,android,4.1,HTC One S
22862,android,4.1,HTC One S
22863,android,6,ONEPLUS A3003
22864,android,6,SM-G900F
22865,android,6,SM-G900F
22866,android,6,SM-G900F
22867,ios,10.2,"iPhone5,2"
22868,ios,10.2,"iPhone5,2"
22869,ios,10.2,"iPhone7,2"
