序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
1,,金蝉欢乐园,北京市朝阳区南磨房小武基北路,"39.8831768144,116.4776891298",北京华侨城物业服务有限公司,2006/6/29,17318,35,0,57496,65,已接洽未签约,,北京
2,,翠城(翠城馨园),朝阳京沈高速路四环外1公里,"39.8574957376,116.5063766770",北京天诺物业管理有限责任公司,2004.7.18,17300,30,0,48700,115,已接洽未签约,,北京
3,,北花园家,北京市朝阳区高碑店乡,"39.9047795159,116.5627699215",北京澳西物业管理有限公司,2013,13821,20,0,19666,88,已接洽未签约,,北京
4,,远洋山水,北京市石景山鲁谷大街,"39.9000455349,116.2401432246",远洋亿家物业服务股份有限公司,2008,11026,10,10,72460,114,已经安装,,北京
5,,荣丰嘉园,广安门外大街,"39.8913463621,116.3357645510",长城物业集团股份有限公司,2005,8956,15,0,125239,65,已接洽未签约,,北京
6,,新景家园,北京市东城区西花市南里新景家园,"39.8953930952,116.4242982482",北京华腾世纪物业管理有限公司,2004/4/7,8356,25,9,103029,60,已经安装,,北京
7,,新景家园一期,北京东城区东花市瓷器口路口向东200米,"39.8922040900,116.4183059082",北京新世界物业管理有限公司停车场分公司,2005.1.1,8356,27,0,104806,100,已接洽未签约,,北京
8,,新景家园 南区,崇文磁器口路口东北角,"39.8953930952,116.4242982482",北京新世界物业管理有限公司,2005.8.15,8300,20,0,103000,60,已经安装,,北京
9,,富力又一城,朝阳东五环化工桥东800米,"39.8474072629,116.5657680336",北京恒福物业管理公司,2011.10.1,8070,20,0,51000,90,已经签约,,北京
10,,房山长阳半岛,"北京市房山区长阳镇京良路南侧(京港澳高速19B出口,长阳环岛东行约3公里)","39.7613654145,116.2060354989",北京万科物业服务有限公司,2015.6.10,7960,20,0,44700,140,已接洽未签约,,北京
11,,理想家园,北京市大兴区西红门镇,"39.7832969418,116.3413208477",北京鸿坤瑞邦物业管理有限公司,2012/7/1,7689,20,0,56854,90,已经签约,,北京
12,,鸿坤理想城大满贯,北京市大兴区西红门欣荣北大街45号院东二层,"39.7913955737,116.3431192977",北京鸿坤瑞邦物业管理有限公司,2009.2.20,7680,20,0,56800,115,已经签约,,北京
13,,远洋一方,北京市石景山区石槽中街东150米,"39.9002681267,116.5998442391",远洋亿家物业服务股份有限公司,2011,7327,15,15,56081,105,已经安装,,北京
14,,鸿博家园,北京市朝阳区博大路25号,"39.8297647450,116.4731342575",北京莱德红兴物业管理公司,2014年7月,6892,20,0,31956,95,已经签约,,北京
15,,金盏家园,北京市朝阳区金盏乡长店大街,"40.0074644631,116.5592499289",北京市金盏物业管理服务中心,2011,6500,19,19,41860,80,已经安装,,北京
996,,万科长阳天地,北京市大兴区义和庄站a口,"39.7128589538,116.3178099735",北京万科物业服务有限公司,2017.6.10,6500,20,0,46800,90,已接洽未签约,,北京
16,,世纪星城,北京市通州区永顺镇杨庄南里世纪星城,"39.8965517222,116.6340932715",北京东光物业管理股份有限公司,2010,6245,15,0,50347,110,已接洽未签约,,北京
17,,国美第一城,北京市朝阳区青年路西里3号院,"39.9333058155,116.5151493349",北京天岳恒房屋经营管理有限公司,2007、6/8,6244,12,0,63079,90,已接洽未签约,,北京
