序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
1,,金鹏金岭,重庆市渝北区金州大道11号,"106.547501,29.650182",龙湖物业,2012,1039,3,0,15000,125,尚未接洽谈判,,重庆
2,,洋丰圣乔维斯,重庆市渝北区金州大道66号,"106.548823,29.652604",重庆顺泰物业,2015,918,3,0,14000,132,尚未接洽谈判,,重庆
3,,两江名苑伯克林,重庆市渝北区金州大道龙健路6号,"106.55031,29.653912",重庆新仁物业,2018,262,1,0,15000,129,尚未接洽谈判,,重庆
4,,万科悦峰,重庆市渝北区金州大道5号,"106.551017,29.648229",万科物业,2011,1412,4,0,17000,133,尚未接洽谈判,,重庆
5,,万科悦府,重庆市渝北区金桂路8号,"106.549517,29.647719",万科物业,2011,282,1,0,22000,249,尚未接洽谈判,,重庆
6,,象屿两江公元,重庆市渝北区金州大道15号,"106.541496,29.650891",绿城物业,2012,3546,15,0,16000,97,尚未接洽谈判,,重庆
7,,建工依山郡,重庆市渝北区金山大道23号,"106.53754,29.651125",金科物业,2015,1700,5,0,16000,193,尚未接洽谈判,,重庆
8,,北大资源博雅一期,重庆市渝北区金州大道106号,"106.539017,29.655295",北大资源物业,2014,1300,5,0,20000,82,已接洽未签约,,重庆
9,,北大资源博雅二期,重庆市渝北区金州大道96号,"106.538725,29.655312",北大资源物业,2014,1900,5,0,18000,100,已接洽未签约,,重庆
10,,盈田金开里,重庆市渝北区火峰路1号,"106.555736,29.645157",重庆盈坛物业,2016,600,2,0,16000,72,尚未接洽谈判,,重庆
11,,富抱泉花园,重庆市渝北区金开大道1008号,"106.55399,29.644515",重庆民顺物业,2008,800,3,0,12000,168,尚未接洽谈判,,重庆
12,,金和苑,重庆市渝北区金开大道1002号,"106.551181,29.643551",重庆金柿子物业,2006,280,1,0,15000,210,尚未接洽谈判,,重庆
13,,爱琴庄园,重庆市渝北区金开大道1000号,"106.550223,29.643085",重庆祥怡物业,2007,500,1,0,20000,100,尚未接洽谈判,,重庆
14,,同舟世纪苑,重庆市渝北区金开大道1006号,"106.551601,29.641895",重庆同舟物业,2005,1320,4,0,11000,138,尚未接洽谈判,,重庆
15,,融创尊爵堡,重庆市渝北区金童路,"106.563808,29.644702",融创物业,2014,100,1,0,23000,355,已接洽未签约,,重庆
16,,奥山别墅,重庆市渝北区金童路108号,"106.559112,29.640236",融创物业,2014,400,1,0,20000,220,已接洽未签约,,重庆
17,,春城澜山,重庆市渝北区万年路436号,"106.550848,29.634873",重庆科渝物业,2009,600,2,0,15000,169,尚未接洽谈判,,重庆
18,,棕榈泉三期,重庆市渝北区金开大道88号,"106.548383,29.639606",棕榈泉物业,2006,1300,5,0,30000,189,已接洽未签约,,重庆
19,,棕榈泉四期,重庆市渝北区金开大道89号,"106.546381,29.642695",棕榈泉物业,2006,1037,4,0,40000,210,尚未接洽谈判,,重庆
20,,金科东方王榭,重庆市渝北区金开大道3号,"106.535666,29.637997",金科物业,2008,1000,3,0,18000,142,已接洽未签约,,重庆
21,,金科东方雅郡,重庆市渝北区镜泊西路1号,"106.532921,29.637944",金科物业,2008,1400,5,0,15000,110,已接洽未签约,,重庆
22,,金科天湖美镇,重庆市渝北区金开大道1号,"106.535381,29.63406",金科物业,2005,1300,5,0,15000,188,已接洽未签约,,重庆
23,,协信春山台,重庆市渝北区吉兴路9号,"106.536994,29.643303",协信天骄物业,2014,2100,7,0,20000,131,已接洽未签约,,重庆
24,,华宇上院,重庆市渝北区金山大道18号,"106.530109,29.643713",华宇物业,2014,1500,5,0,17000,140,已接洽未签约,,重庆
25,,万科颐城,重庆市渝北区金山大道28号,"106.533199,29.644528",万科物业,2014,150,1,0,15000,255,已接洽未签约,,重庆
26,,万科城哲园,重庆市渝北区金山大道28号,"106.529224,29.645219",万科物业,2011,500,2,0,15000,120,已接洽未签约,,重庆
27,,万科城三期,重庆市渝北区金山大道29号,"106.532054,29.64564",万科物业,2014,2500,8,0,15000,79,已接洽未签约,,重庆
28,,约克郡,重庆市渝北区怡景路88号,"106.534404,29.654335",第一太平戴维斯物业,2014,1800,6,0,18000,231,已接洽未签约,,重庆
29,,约克郡翠微堤,重庆市渝北区怡和路9号,"106.531685,29.648825",第一太平戴维斯物业,2014,200,1,0,20000,297,已接洽未签约,,重庆
30,,世贸茂悦府,重庆市渝北区湖红路390号,"106.524722,29.657133",南京世贸物业,2016,800,3,0,18000,261,已接洽未签约,,重庆
