序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
1,,中海观园国际,金穗路719-729号 ,"113.340304,23.122926",中海物业管理有限公司,1996/6/1,1000,3,,100000,87-88,已入柜,,广州
2,,中海璟晖华庭,广州市天河区猎德大道33号中海璟晖华庭,"113.332767,23.121592",中海物业管理有限公司,2012/1/1,1200,4,,100000,87-88,已入柜,,广州
3,,丽江花园,金穗路77号丽江花园,"113.335495,23.123583",粤海物业管理有限公司天河分公司,2008/1/1,1200,4,,100000,87-88,待进一步洽谈，已扫盘,,广州
4,,珠江都荟,华利路25号,"113.317231,23.118148",广州珠江物业酒店管理有限公司珠江新城分公司,2010/1/1,441,1,,100000,87-88,待进一步洽谈，已扫盘,,广州
5,,颐德公馆,天河珠江新城花城大道与海清路交界颐德公馆,"113.336334,23.121101",广州珠江酒店实业有限公司,2011/3/1,450,2,,100000,87-88,待洽谈,,广州
6,,伊莲萨维尔公寓,珠江新城花城大道556号,"113.349051,23.123759",广州珠光物业管理有限公司,2016/2/1,600,2,,100000,87-88,待洽谈,,广州
7,,珠光新城御景,天河花城大道766号,"113.347442,23.116668",广州珠光物业管理有限公司,2010/6/1,1180,4,,100000,87-88,待洽谈,,广州
8,,富力公园28,珠江新城马场路28号,"113.343897,23.122806",广州天力物业发展有限公司,2016/11/11,700,2,,100000,87-88,待进一步洽谈,,广州
9,,新大厦国际公寓,珠江新城华利路1号,"113.316086,23.118222",广州天绰物业管理有限公司,2004/1/1,300,1,,100000,87-88,待洽谈,,广州
10,,龙凤苑,广州市珠江新城海安路201号龙凤苑社区,"113.337029,23.124922",广州市兆禾物业管理有限公司,2005/12/1,400,1,,100000,87-88,待进一步洽谈，已扫盘,,广州
11,,铂林国际公寓,珠江新城花城大道16号,"113.323285,23.125171",广州市萨弗物业管理有限公司,2008/1/1,1032,3,,100000,87-88,待进一步洽谈,,广州
12,,广州誉峰,广州誉峰2广州市天河区珠江新城金穗路711号,"113.345056,23.129051",广州市宁骏物业管理有限公司,2008/1/1,628,2,,100000,87-88,合同走流程 ,,广州
13,,广州领峰园,广州领峰园广州市珠江新城兴盛路7号之二,"113.329192,23.122607",广州市宁骏物业管理有限公司,2009/1/1,543,2,,100000,87-88,合同走流程 ,,广州
14,,领峰大厦,金穗路68号,"113.334837,23.127963",广州市宁骏物业管理有限公司,2010/1/1,198,1,,100000,87-88,合同走流程 ,,广州
15,,领峰,广州市珠江新城兴盛路7号之二,"113.328793,23.121935",广州市宁骏物业管理有限公司,2009/1/1,2067,10,,100000,80-100,合同走流程 ,,广州
16,,睿峰,广州珠江新城海乐路12号,"113.338714,23.125458",广州市宁骏物业管理有限公司,2013/1/1,382,1,,100000,80-100,合同走流程 ,,广州
17,,誉峰,广州市天河区珠江新城金穗路711号,"113.338858,23.123031",广州市宁骏物业管理有限公司,2008/1/1,634,2,,100000,80-100,合同走流程 ,,广州
18,,丹顿阳光,珠江新城海安路2号街道,"113.340995,23.130255",广州市嘉逸酒店管理集团有限公司,2014/12/1,600,2,,100000,80-100,待进一步洽谈,,广州
19,,嘉裕公馆,花城大道76号接到,"113.335348,23.118425",广州市嘉逸酒店管理集团有限公司,2014/12/1,1500,5,,100000,80-100,待进一步洽谈,,广州
20,,君玥公馆,花城大道39号,"113.325817,23.126098",广州市嘉逸酒店管理集团有限公司,2014/1/1,800,3,,100000,80-100,待进一步洽谈,,广州
21,,尚东宏御,花城大道760号,"113.344241,23.116937",广州尚东物业酒店管理有限公司,2010/1/1,800,3,,100000,87-88,待洽谈,,广州
22,,尚东美御,猎德大道48号,"113.334086,23.123489",广州尚东物业酒店管理有限公司,2010/1/1,800,3,,100000,87-88,待洽谈,,广州
23,,隽峰苑,天河区珠江新城兴盛路12号,"113.337582,23.125823",广州路劲物业服务有限公司,2007/1/1,888,3,,100000,87-88,待进一步洽谈，已扫盘,,广州
24,,兰亭荟苑,珠江新城平云路165号,"113.357438,23.127003",广州和融物业管理有限公司,2013/1/1,200,1,,100000,87-88,待洽谈,,广州
25,,璟晖华庭,广州市天河区猎德大道33号,"113.332767,23.121592",广州城洲房产租赁有限公司,2015/5/10,600,2,,100000,87-88,待洽谈,,广州
26,,星汇园A,天河珠江新城华明路35号,"113.31986,23.123022",广州城建开发物业管理有限公司,2012/3/1,1440,5,,100000,87-88,已入柜,,广州
27,,城建星汇云锦,华明路2号4号6号,"113.314602,23.121189",广州城建开发物业管理有限公司,2009/8/1,1000,3,,100000,87-88,已入柜,,广州
