序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
1,,云栖小镇,浙江省杭州市西湖区科海路市委党校旁,"120.09099,30.139888",杭州绿城物业,2017.12.31,1200,4,,21829,90,,,杭州
2,,桃花源,杭州市余杭区余杭镇凤凰山桃花源 ,"119.952215,30.251681",杭州绿城物业,2016.12.31,570,2,,26603,89,,,杭州
3,,桃花源南区,杭州市余杭区余杭镇中泰乡桃花源南区    ,"119.955336,30.242",杭州绿城物业,2015.6,570,2,,55938,90,,,杭州
4,,风华苑,杭州市余杭区临平世纪大道西段风华苑,"120.291866,30.404196",杭州绿城物业,2011.6.30,802,3,,24167,90,,,杭州
5,,蓝庭,杭州市余杭区临平镇星河路星光街蓝庭 ,"120.280382,30.434193",杭州绿城物业,2013.12.31,1200,4,,25827,90,,,杭州
6,,临安锦绣钱塘,临安市锦城街道民主村锦锈钱塘别墅园,"119.807123,30.266406",杭州绿城物业,2011.5.19,740,2,,19171,89,,,杭州
7,,星桥紫桂,杭州市余杭区星桥街道星源北路65号,"120.263861,30.404086",杭州绿城物业,,995,3,,25556,90,,,杭州
8,,翡翠城,杭州市余杭区闲林镇高教路翡翠城,"120.029083,30.246499",杭州绿城物业,2019.1,8500,28,,36634,90,,,杭州
9,,恒生科技园,余杭区文一西路1218号,"120.013331,30.283668",杭州绿城物业,2016.7.1,1778,6,,,90,,,杭州
10,,溪上玫瑰园,杭州市余杭区闲林镇高教路溪上玫瑰园,"120.027945,30.256999",杭州绿城物业,2017.10.31,323,1,,45046,90,,,杭州
11,,梧桐蓝山,杭州市余杭区临平世纪大道西段（风华苑对面）,"120.293286,30.401873",杭州绿城物业,2015.11.24,2000,7,,28650,89,,,杭州
12,,海创园,文一西路998号,"120.023875,30.287737",杭州绿城物业,,2322,8,,15024,90,,,杭州
13,,玉园,杭州市余杭区南苑街道叠华街绿城玉园物业服务中心,"120.30177,30.412299",杭州绿城物业,2016.6,1098,4,,37894,89,,,杭州
14,,阳光城,中泰街道中泰路石鸽社区（新南湖绿苑对面）,"119.943175,30.246391",杭州绿城物业,,1200,4,,,90,,,杭州
15,,东港花苑,余杭区临平镇北沙区西路150号,"120.278153,30.437535",杭州绿城物业,2013.12.31,2406,8,,23302,90,,,杭州
16,,临安青山湖红枫园,临安市青山镇六份头村青山湖红枫园物业服务中心,"119.816827,30.253619",杭州绿城物业,,170,1,,,130,,,杭州
17,,西溪艺术集合村,余杭区访溪路西溪艺术集合村（印象城对面）,"120.050813,30.256685",杭州绿城物业,,560,2,,,90,,,杭州
18,,西溪郡,天目山西路，高教路与荆余公路交叉口往西500米,"120.024478,30.236536",杭州绿城物业,,480,2,,27103,89,,,杭州
19,,玉榕庄,杭州余杭区余杭镇上文山村春城路西北侧,"119.985743,30.254151",杭州绿城物业,2014.12.31,282,1,,21201,90,,,杭州
20,,临安唐宁郡园,浙江省杭州市临安市钱王街,"119.750971,30.233138",杭州绿城物业,2014.6.30,564,2,,,90,,,杭州
21,,翡翠湾,杭州五常大道高教路交汇处往东300米,"120.030191,30.248029",杭州绿城物业,2015.6.30,417,1,,36511,130,,,杭州
22,,金岸提香,杭州余杭区中泰街道岑岭村1组,"119.940878,30.245704",杭州绿城物业,2011.1,975,3,,22915,90,,,杭州
23,,临安玉兰花园,临安临东路与衣锦街交叉口以东,"119.742847,30.242557",杭州绿城物业,2014.6,1410,5,,20020,89,,,杭州
24,,临安曼陀花园,青山湖度假风景区,"119.766549,30.244859",杭州绿城物业,2015.12.31,100,0,,18690,90,,,杭州
25,,海创人才公寓,杭州五常街道荆长路672-1号,"120.047406,30.296081",杭州绿城物业,,900,3,,15024,90,,,杭州
26,,玉都枫景苑,浙江省杭州市余杭区东西大道,,杭州绿城物业,2013.5.30,686,2,,28084,130,,,杭州
27,,富阳七里香溪,富阳银湖开发区九龙大道227号,"119.998795,30.151528",杭州绿城物业,2005.5.31,260,1,,37916,120~140平米,,,杭州
28,,桐庐玫瑰园,杭州分水江与富春江两江交汇处,,杭州绿城物业,2011.12.31,123,0,,23417,120~140平米,,,杭州
29,,富阳九龙山庄,富阳区杭富公路九龙大道81号,"119.96527,30.149408",杭州绿城物业,2007.12.31,850,3,,20405,120~140平米,,,杭州
30,,桐庐御溪名都,桐君街道瑶林路39号,"119.708568,29.809455",杭州绿城物业,,790,3,,21449,90,,,杭州
31,,富春和园,富阳金桥北路,"119.937708,30.068697",杭州绿城物业,2015.12.31,1500,5,,26804,130,,,杭州
32,,富春玫瑰园,富阳市东洲街道江滨东大道515号,"120.016275,30.087523",杭州绿城物业,2013.10.31,2200,7,,33771,90,,,杭州
33,,桃园小镇,余杭区余杭街道沈家店桃源小镇物业服务中心,"119.982327,30.240485",杭州绿城物业,2018年上半年,113,0,,,89,,,杭州
34,,西溪融庄,余杭荆长大道与文二西路口南侧300米,"120.048295,30.27635",杭州绿城物业,2015.4,435,1,,41333,90,,,杭州
35,,梦想小镇,未来科技城良睦路1399号梦想小镇互联网村,"120.011272,30.298565",杭州绿城物业,,760,3,,,90,,,杭州
36,,新远金座,杭州市余杭区南苑街道,"120.313497,30.408772",杭州绿城物业,,880,3,,,130,,,杭州
37,,碧水铭苑,杭州市余杭区五常大道，联胜路碧水铭苑物业服务中心,"120.046253,30.260823",杭州绿城物业,2006.11.30,989,3,,18500,90,,,杭州
38,,南岸晶都,滨江滨康路四桥时代大道东侧（滨康路长河路交叉口）,"120.200168,30.186207",杭州绿城物业,2007.7.31,1693,6,,34289,89,,,杭州
39,,奥兰多小镇,萧山风情大道，南都威尼斯水城背面,"120.243419,30.170803",杭州绿城物业,2007.12.31,800,3,,31497,90,,,杭州
40,,杭州新河公寓,杭州市潮王路288号新河公寓南310,"120.156646,30.290837",杭州绿城物业,,2300,8,,,90,,,杭州
41,,杭州红石公寓,杭州市潮王路201号,"120.1598,30.291444",杭州绿城物业,,120,0,,,130,,,杭州
42,,杭州北国之春,杭州市衢州街105号,"120.147731,30.322622",杭州绿城物业,,795,3,,,130,,,杭州
