序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
4,93711,南桥雅苑,上海市奉贤区南桥路1000号,"121.458376,30.910203",招商局物业,2010.6.15,1020,3,3,35000,90,已经安装,,上海
5,16760,南桥新苑一期,上海市奉贤区环城东路885弄,"121.471742,30.93667",上海昌悦物业,2008.7.21,1200,4,3,38000,110,已经安装,,上海
6,16781,南桥新苑二期,上海市奉贤区高洲路运河北路,"121.475269,30.932693",上海昌悦物业,2009.6.1,987,3,3,38000,110,已经安装,,上海
7,,合景万景峰,上海市奉贤区金海路航南公路口,"121.498786,30.939802",宁骏物业,2017.6.8,2087,7,0,41741,108,已接洽未签约,流程中,上海
8,,万科金域华府,上海市奉贤区万顺路709弄?,"121.498786,30.939802",上海万科物业,2016.4.20,906,3,0,36018,84,尚未接洽谈判,,上海
9,,万科金域华府东区,上海市奉贤区万顺路708弄,"121.527083,30.941017",上海万科物业,2016.4.21,1290,4,0,36018,108,尚未接洽谈判,,上海
10,,万科南桥传奇,上海市奉贤区国顺路668弄,"121.460388,30.937341",上海万科物业,2016.1.16,1054,3,0,39300,74,尚未接洽谈判,,上海
11,,天和前滩时代,上海市奉贤区万顺路2968弄,"121.522482,30.976287",长城物业,2018.4.12,2106,7,0,31137,90,已接洽未签约,,上海
12,,天和尚海格调,上海市奉贤区大叶公路6288号,"121.561179,30.981616",长城物业,2018.4.12,1590,5,0,31137,90,已接洽未签约,,上海
13,,绿地无双,上海市奉贤区金海公路?与航南公路,"121.497638,30.940928",长城物业,2005.7.16,1050,3,0,49865,84,尚未接洽谈判,,上海
14,,朗诗未来街区,上海市奉贤区北行路555弄,"121.514728,30.975868",南京朗诗物业,2017.6.5,2050,5,0,33196,79,已经签约,,上海
15,,阳光海岸,上海市奉贤区海湾路369号,"121.52238,30.826457",上海永升物业,2012.3.5,351,1,0,20098,230,已接洽未签约,,上海
16,,旭辉·圆石滩,上海市奉贤区海马路5111弄,"121.520003,30.825465",上海永升物业,2015.6.18,375,2,0,23914,210,已接洽未签约,,上海
17,,旭新华庭,上海市金山区海盛路500弄,"121.358574,30.759341",上海永升物业,2017.6.8,2180,7,0,20213,110,已接洽未签约,,上海
18,,佳兆业8号,上海市奉贤区钜庭路99弄1号,"121.425911,30.91115",佳兆业物业,2016.6.3,854,2,0,29545,74,已接洽未签约,,上海
19,,佳兆业珊瑚湾,上海市奉贤区海马路4333弄,"121.542736,30.831226",佳兆业物业,2016.7.8,1250,3,0,23632,63,已接洽未签约,,上海
20,,新城花屿湾,上海市奉贤区兰博路1455弄,"121.665999,30.914379",新城物业,2017.1.5,760,2,0,23455,90,已接洽未签约,,上海
21,,金水丽苑,上海市奉贤区嘉园路360号,"121.498698,30.965359",奉新物业,2016.5.7,1280,4,0,25865,90,已接洽未签约,,上海
22,,金水佳苑,上海市奉贤区广丰路100弄,"121.504043,30.965124",奉新物业,2017.5.7,2487,7,0,27075,110,已接洽未签约,,上海
23,,金昊雅苑南区,上海市奉贤区光昊路219弄,"121.509683,30.923458",奉新物业,2015.3.8,1020,3,0,31890,95,已接洽未签约,,上海
24,,金昊雅苑北区,上海市奉贤区光昊路218弄,"121.509635,30.923858",奉新物业,2015.3.8,960,3,0,31890,95,已接洽未签约,,上海
25,,金海苑南区,上海市奉贤区光昊路395弄,"121.506745,30.92275",奉新物业,2015.8.30,890,3,0,32771,89,已接洽未签约,,上海
26,,金海苑北区,上海市奉贤区光昊路398弄,"121.505371,30.924192",奉新物业,2015.8.14,2607,7,0,32771,89,已接洽未签约,,上海
27,,恒盛·湖畔豪庭,上海市奉贤区新城泽丰路1号,"121.497161,30.933672",上海开元物业,2013.8.6,1054,3,0,49065,90,已接洽未签约,,上海
28,,恒盛·湖畔豪庭北区,上海市奉贤区泽丰路88弄,"121.496345,30.936681",上海开元物业,2013.8.7,1297,4,0,49065,90,已接洽未签约,,上海
29,,恒盛·湖畔豪庭西区,上海市奉贤区泽丰路262弄17号,"121.491938,30.935588",上海开元物业,2013.8.12,954,3,0,49065,90,已接洽未签约,,上海
30,,海尚华庭,上海市奉贤区国顺路668弄,"121.460755,30.937253",上海万科物业,2015.4.12,921,3,0,43034,84,尚未接洽谈判,,上海
31,,申凡苑,上海市奉贤区南亭公路360弄1-4号,"121.456911,30.915003",上海奉工物业,2012.3.21,280,1,0,28976,60,尚未接洽谈判,,上海
32,,奉铭佳苑,上海市奉贤区邮电路421弄,"121.648933,30.908973",上海亚承物业,2013.6.8,550,2,0,27006,56,尚未接洽谈判,,上海
33,,中建·公元名邸,上海市奉贤区兰博路1801弄,"121.661958,30.912829",上海中建东孚物业,2016.8.5,1245,4,0,22987,97,尚未接洽谈判,,上海
