序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
1,,阳光棕榈园二期,广东省深圳市南山区前海路与学府路交汇处,"113.94774,22.506295",深圳市保利物业管理有限公司,2009.10.23,183,1,0,158533,82,已接洽，未签约,等待物业方审批流程,深圳
2,,星河传奇,广东省深圳市龙华区龙华新区上塘路与民塘路交汇处,"113.949271,22.511945",深圳市鹏瑞,2014.12.1,280,1,0,157684,240,尚未接洽谈判,,深圳
3,,京基东方颐园,广东省深圳市罗湖区东门中兴路88号,"113.94735,22.494152",翡翠海岸物业管理有限公司,2014.5.6,445,2,0,154620,89,尚未接洽谈判,,深圳
4,,龙坤居,广东省深圳市南山区南油登良路25号,"113.939272,22.512468",物资物业管理有限公司,2016.4.3,160,1,0,154466,89,尚未接洽谈判,,深圳
5,,学府花园,广东省深圳市南山区学府路103号,"114.043622,22.556007",信托物业管理,2003.12.4,473,2,0,153618,157,已接洽，未签约,等待物业方审批流程,深圳
6,,美丽湾国际公寓,广东省深圳市南山区南光路2号,"114.043622,22.556007",信托物业管理,2005.3.6,504,2,0,152379,147,尚未接洽谈判,,深圳
7,,中英街壹号,广东省深圳市盐田区海涛路1号,"113.946678,22.497894",恒裕物业管理有限公司,2016.8.2,374,1,3,151723,120,已经安装,,深圳
8,,城市杰座,广东省深圳市福田区福华路216号,"113.95591,22.531934",世邦魏理仕和兰赫美特酒店管理公司,2014.5.6,228,1,0,149471,90,尚未接洽谈判,,深圳
9,,桑达雅苑,广东省深圳市福田区兰天路60-1号,"114.024577,22.555741",广东联泰集团物业管理有限公司,2005.3.2,778,2,0,149124,175,尚未接洽谈判,,深圳
10,,康佳苑,广东省深圳市南山区汕头街8号,"113.926339,22.487025",招商物业管理公司,2016.12.1,120,1,0,149108,88,尚未接洽谈判,,深圳
11,,中怡大厦,广东省深圳市罗湖区和平路1195号 ,"114.041028,22.557595",中海物业管理有限公司,2006.4.5,358,1,0,147485,245,已接洽，未签约,等待物业方审批流程,深圳
12,,缤纷假日豪园,广东省深圳市南山区南光路112号,"114.302919,22.613632",华侨城物业管理有限公司,2008.3.6,45,1,0,145645,165,已接洽，未签约,找不到合适点位,深圳
13,,中航天逸,广东省深圳市龙华区龙华新区人民路与腾龙路交汇东侧,"113.946829,22.495973",深圳市新一代物业管理有限公司,2013.8.9,1526,5,0,139835,75,尚未接洽谈判,,深圳
14,,凯丰花园二期(逸园),广东省深圳市福田区梅华路2-10号附近,"114.020531,22.554313",港中旅物业管理有限公司,2005.5.6,1166,3,0,139746,110,尚未接洽谈判,,深圳
15,,嘉鑫阳光雅居,广东省深圳市福田区梅北路70号,"114.023099,22.5541",港中旅物业管理有限公司,2006.5.3,524,2,0,139324,162,尚未接洽谈判,,深圳
16,,香蜜楼,广东省深圳市福田区香梅路1021号,"113.945561,22.507024",深圳市宝能物业管理有限公司,2010.8.9,1680,5,0,139306,116,尚未接洽谈判,,深圳
17,,广兴源圣拿威,广东省深圳市宝安区西乡碧海中心区海城路与宝源路交汇处,"113.948092,22.503225",深圳市卓越物业管理有限公司,2009.10.23,912,3,0,137929,168,已接洽，未签约,找不到合适点位,深圳
18,,合泰御景翠峰,广东省深圳市盐田区罗沙路1021号,,仲量联行,2015.3.6,476,2,0,134774,89,已接洽，未签约,找不到合适点位,深圳
19,,御景湾,广东省深圳市宝安区玉林路5号,"113.894393,22.494574",深圳市汉京物业服务有限公司,2015.6.1,320,1,0,133895,180,尚未接洽谈判,,深圳
20,,百富大厦,广东省深圳市南山区南海大道2127,"113.978542,22.554969",华侨城物业,2013.6.5,455,1,0,131754,260,尚未接洽谈判,,深圳
21,,后海大厦,广东省深圳市南山区后海大道,"114.031108,22.55597",深圳市金地物业管理有限公司,2003.12.4,628,3,0,128962,220,尚未接洽谈判,,深圳
22,,俊峰丽舍,广东省深圳市南山区华侨城北龙珠大道龙珠七路43号,"113.972263,22.528062",深圳百仕达物业管理有限公司,2004.5.9,1344,4,0,128858,191,尚未接洽谈判,,深圳
23,,椰风海岸,广东省深圳市南山区桃李路33,"113.944915,22.504387",第一太平戴维斯物业顾问有限公司,2015.10.31,308,1,0,128147,88,尚未接洽谈判,,深圳
24,,南山悠山美地,广东省深圳市南山区东滨路4088号 ,,深圳市大中华第一太平戴维斯物业管理有限公司,2009.5.8,192,1,0,126385,89,尚未接洽谈判,,深圳
