序号,楼盘ID,楼盘名称,楼盘地址（到门牌号）,经纬度,物业名称,楼盘交付时间,入住户数,预计投放点位数,实际安装点位,"房价
（元/m2）",主力户型面积,目前开发状态,需解决的问题,城市
1,,锐创中心,,"114.393395,30.636521",北京安信行物业管理有限公司武汉分公司,2011.9,865,3,,29000,97,已接洽未签约,,武汉
2,,祥和苑1,恒安路141号,"114.319712,30.517645",宝安地产,2006.11,924,3,,17975,97,尚未接洽谈判,,武汉
3,,祥和苑2,恒安路141号,"114.320201,30.51552",宝安地产,2013.11,924,3,,17975,98,已接洽未签约,,武汉
4,,新世纪保安花园,武昌区南湖街建安街101号,"114.321939,30.511014",保利物业,2012.3,561,2,,18074,128,已接洽未签约,,武汉
5,,保利时代,关山大道332号,"114.414191,30.494707",保利物业,2006.9,706,2,,23677,92,已接洽未签约,,武汉
6,,保利时代3,关山大道332号,"114.415656,30.495775",保利物业,2008.7,1636,5,,23677,97,已接洽未签约,,武汉
7,,八大家花园三十八街坊,建设四路14附1号,"114.39238,30.634824",北京安信行物业管理有限公司武汉分公司,2012.3,1758,5,5,19000,98,已经安装,,武汉
8,,八大家花园四十二街坊,和平大道1268号,"114.389088,30.630952",北京安信行物业管理有限公司武汉分公司,2017.3,1215,3,2,19000,128,已经安装,,武汉
9,,新华家园悦景居,红旗渠路178号,"114.268303,30.631367",北京新世界物业,2013.11,718,2,,21039,98,已接洽未签约,,武汉
10,,御龙湾,,"114.14796,30.65566",北宇物业,2016.06,5244,17,,29000,92,已接洽未签约,,武汉
11,,熙龙湾,,"114.15537,30.64094",北宇物业,2012.11,340,1,,15000,97,已接洽未签约,,武汉
12,,博大海蓝湾,,"114.170478,30.661311",博大物业,2006.2,434,1,,23000,102,已接洽未签约,,武汉
13,,博大星光国际,,"114.225737,30.530697",博大物业,2016.8,332,1,,15000,115,已接洽未签约,,武汉
14,,星光时代,,"114.353526,30.510858",博大物业,2012.3,5244,17,,21000,97,已接洽未签约,,武汉
15,,鼎盛华城,,"114.307054,30.648561",博坤物业,2013.11,1412,5,,15000,92,已接洽未签约,,武汉
16,,中部慧谷,,"114.21037,30.676659",财富兴园物业,2016.8,1412,5,,29000,92,已接洽未签约,,武汉
17,,卧龙墨水湖边,,"114.237321,30.536153",长城物业,2006.2,1536,5,,15000,92,已经签约,,武汉
18,,绿地中央广场,,"114.219672,30.521711",长城物业,2015.7,2587,8,,24000,92,已经签约,,武汉
19,,绿地汉口中心,,"114.300026,30.663313",长城物业,2011.7,1100,1,,24000,102,已经签约,,武汉
20,,中铁世纪金桥,,"114.233705,30.523346",长城物业,2011.9,859,2,,18000,115,已经签约,,武汉
21,,绿地悦澜湾,,"114.222596,30.533179",长城物业,2006.11,704,0,,23000,97,已经签约,,武汉
22,,绿地国博财富中心,,"114.250931,30.518399",长城物业,2013.11,1104,2,,15000,98,已经签约,,武汉
23,,绿地铭创大厦,,"114.328022,30.583388",长城物业,2012.3,800,1,,23000,128,已经签约,,武汉
24,,名邸公馆,,"114.327735,30.584229",长城物业,2006.2,1587,4,,15000,92,已经签约,,武汉
25,,西斯莱公馆,,"114.329885,30.587479",长城物业,2015.7,1598,5,,21000,97,已经签约,,武汉
26,,绿地蓝海,,"114.331339,30.588334",长城物业,2011.7,796,2,,29000,92,已经签约,,武汉
27,,楚天都市雅园,,"114.368369,30.57927",楚天中大物业,2016.06,2737,9,,18000,97,已接洽未签约,,武汉
28,,武汉城市广场,,"114.25917,30.582336",楚信物业,2011.7,2737,9,,24000,102,已接洽未签约,,武汉
29,,大华南湖公园世家,,"114.340983,30.499923",大华物业,2012.11,1693,6,,15000,92,已接洽未签约,,武汉
30,,汇博苑 ,喻家湖路5号,"114.431308,30.517519",戴德梁行顾问有限公司,2012.12,332,1,,22397,92,已接洽未签约,,武汉
31,,融科天城1期,湖北省武汉市江岸区解放大道1155号,"114.303678,30.601368",第一太平融科物业管理（北京）有限公司武汉分公司,2008.4,1421,14,11,35000,130,已经安装,,武汉
32,,海赋江城天韵C区,兴业路169号,"114.313998,30.65182",电建物业,2000.1,376,1,,17670,92,已接洽未签约,,武汉
33,,阳光新苑,新湾五路201号,"114.255136,30.63584",东方物业公司,2011.9,550,2,,17590,120,已接洽未签约,,武汉
34,,汉口花园五期2,江汉后湖大道19号,"114.276066,30.641848",东方物业管理有限公司,2012.11,1763,6,,18514,97,已接洽未签约,,武汉
35,,泛海城市广场写字楼,范湖中央商务区淮海路,"114.261459,30.610072",泛海物业管理武汉有限公司,2012.5,150,1,1,30000,200,已经安装,,武汉
36,,泛海国际SOHO城一期,王家墩中央商务区淮海路南侧,"114.252368,30.605415",泛海物业管理武汉有限公司,2012.5,880,2,2,30000,150,已经安装,,武汉
37,,桂海园,淮海路中段(红领巾学校旁,"114.242375,30.605793",泛海物业管理武汉有限公司,2016.4,200,1,1,30000,102,已经安装,,武汉
38,,兰海园,范湖武汉中央商务区淮海路中段,"114.256478,30.606523",泛海物业管理武汉有限公司,2014.7,200,1,1,30000,102,已经安装,,武汉
39,,松海园,中央商务区淮海路中段(红领巾学校旁),"114.242653,30.607404",泛海物业管理武汉有限公司,2014.7,150,1,1,30000,102,已经安装,,武汉
40,,樱海园,王家墩中央商务区云霞路与清江路江口西北方向,"114.25287,30.607232",泛海物业管理武汉有限公司,2013.7,813,3,3,30000,102,已经安装,,武汉
41,,悦海园,范湖中央商务区淮海路,"114.263779,30.609594",泛海物业管理武汉有限公司,2014.7,630,2,2,30000,102,已经安装,,武汉
42,,竹海园,中央商务区淮海路中段(红领巾学校对面),"114.24703,30.608488",泛海物业管理武汉有限公司,2015.6,428,1,1,30000,102,已经安装,,武汉
43,,博海名居,红旗渠路浩海里60号,"114.264725,30.63197",方益公司,2012.12,420,1,,16642,97,已接洽未签约,,武汉
44,,名士华府,龙阳大道特8-8号,"114.203004,30.547906",福建南方物业管理有限公司武汉分公司,2017.3,528,2,2,18000,128,已经安装,,武汉
45,,名湖豪庭,东湖新技术开发区庙山中路10号,"114.386869,30.463707",福建南方物业管理有限公司武汉分公司,2012.5,2100,6,6,15000,92,已经安装,,武汉
46,,名士1号,雄楚大道书城路7号名士一号,"114.347562,30.512421",福建南方物业管理有限公司武汉分公司,2012.5,1330,4,4,18000,97,已经安装,,武汉
47,,融侨城2,和平大道铁机路余家头车站旁,"114.351577,30.61427",福州融侨物业有限公司武汉分公司,2016.06,380,1,,22217,128,已接洽未签约,,武汉
48,,融侨锦江3,建一路2号,"114.228836,30.58408",福州融侨物业有限公司武汉分公司,2012.11,28,0,,25558,92,已接洽未签约,,武汉
49,,长源假日港湾,海口二路18号,"114.175011,30.650238",港联不动产服务（武汉）有限公司,2006.9,632,2,2,14000,92,已经安装,,武汉
50,,汉口城市广场1期,湖北武汉市江岸区后湖大道111号,"114.312964,30.660516",港联不动产服务（武汉）有限公司,2014.8,3466,11,11,24000,97,已经安装,,武汉
51,,金桥壹号,武汉市江岸区金桥大道20号,"114.293649,30.640378",港联不动产服务（武汉）有限公司,2014.8,608,1,1,21000,92,已经安装,,武汉
52,,龙阳1号,武汉市汉阳区芳草路88号,"114.217813,30.554791",港联不动产服务（武汉）有限公司,2014.8,3342,11,11,23000,102,已经安装,,武汉
53,,香港映象,硚口区解放大道309号,"114.220836,30.595277",港联不动产服务（武汉）有限公司,2006.2,2240,8,8,20000,97,已经安装,,武汉
54,,星悦城二期,和谐大道28号,"114.273635,30.645575",港联不动产服务（武汉）有限公司,2015.08,873,7,7,18700,115,已经安装,,武汉
55,,星悦城三期,塔子湖西路1号,"114.272276,30.647144",港联不动产服务（武汉）有限公司,2016.06,688,6,6,18500,97,已经安装,,武汉
56,,星悦城一期,塔子西湖路1号,"114.278249,30.643637",港联不动产服务（武汉）有限公司,2012.11,2100,7,7,19000,98,已经安装,,武汉
57,,御景世家,武汉市江岸区赵家条88号,"114.306856,30.628134",港联不动产服务（武汉）有限公司,2006.9,812,3,7,18500,128,已经安装,,武汉
58,,东湖尚郡,武汉市洪山区欢乐大道165号,"114.375702,30.591",港联不动产服务（武汉）有限公司,2011.9,1622,7,1,18000,92,已经安装,,武汉
59,,三金·雄楚天地,湖北武汉市洪山区卓刀泉路238号,"114.38998,30.510692",港联不动产服务（武汉）有限公司,2012.5,720,2,7,24000,102,已经安装,,武汉
60,,相国花园027社区,湖北省武汉市洪山区雄楚大道特1号相国花园027社区,"114.32244,30.526837",港联不动产服务（武汉）有限公司,2000.1,1892,6,6,17335,97,已接洽未签约,,武汉
61,,雄楚天地,卓刀泉路238号,"114.38998,30.510692",港联不动产服务（武汉）有限公司,2006.11,797,3,5,19686,97,已接洽未签约,,武汉
62,,惠园大公馆,建设大道959号,"114.295307,30.616751",港联不动产服务（武汉）有限公司,2012.6,5244,17,2,23751,102,已接洽未签约,,武汉
63,,金岛金桥壹号,金桥大道25号,"114.293649,30.640378",港联不动产服务（武汉）有限公司,2016.8,622,2,2,14958,115,已经安装,,武汉
64,,金岛御璟世家,赵家条路88号,"114.306856,30.628134",港联不动产服务（武汉）有限公司,2012.12,2070,7,2,20754,97,已经安装,,武汉
65,,珞桂路99号小区,珞桂路99号,"114.361383,30.519735",港联不动产服务（武汉）有限公司,2006.9,3768,13,2,18598,97,已接洽未签约,,武汉
66,,美联奥林匹克1期,马池路与机场高速交汇处,"114.240442,30.656835",港联不动产服务（武汉）有限公司,2011.7,1166,6,3,15947,105,已经安装,,武汉
67,,美联奥林匹克花园4期,公交总站西路8号,"114.242674,30.661193",港联不动产服务（武汉）有限公司,2011.9,166,6,8,16097,97,已经安装,,武汉
68,,复地东湖国际,,"114.363133,30.565407",高地物业,2016.06,2737,9,7,29000,98,已接洽未签约,,武汉
69,,复地悦城,,"114.296746,30.496074",高地物业,2012.11,2737,9,2,29000,128,已接洽未签约,,武汉
70,,广电·兰亭都荟,汉阳钟家村马鹦路193号,"114.261506,30.542881",广电物业,2016.8,396,1,3,18991,97,已接洽未签约,,武汉
71,,广电都市兰亭,汉阳大道98号,"113.014237,28.158051",广电物业,2016.8,1112,4,2,18991,105,已接洽未签约,,武汉
72,,广电江湾新城,古田三路罗家墩与沿河大道交汇处,"114.20532,30.592107",广电物业,2012.12,1112,4,1,21688,97,已接洽未签约,,武汉
